努力生活吧，你不是那么容易打败的。如果你一直无法自拔现在的情绪那还是当我什么都没说。。。。 	 你说了半天就跟没说一样
加油吧骚年！ 	 加油
老姐 	 老姐是谁
肯定是金立樑那个傻子欺负你了是不是？ 	 靠,金立梁是哪个?小通你又犯傻了
我也想你了，你怎么了？ 	 你是怎么火起来的
当然是德国队啰。你喜欢我也喜欢。 	 嗯!!!我老喜欢了
你有什么缺点 	 除了缺点都是优点
敢不敢不回表情 	 我猜你不敢
你不就是小通吗 	 我就是小通呀呀呀
啦啦啦啦 	 啦啦
口渴了,喝水去 	 喝水
每天跟你说完话才能睡得着 	 臻宝晚上睡得特别香不上厕所不做梦
多少 	 你要多少啊？
来吧,到锅里来 	 你才到锅里去！
稀饭你 	 我不稀饭你
根据相关法律法规，呵呵 	 法律
苗鑫 	 苗鑫是什么意思
搞错了…是章北晶 	 章北晶女的
一口盐汽水喷死你 	 我喷死米
你这孩子真调皮 	 我才不是小孩子
那你还跟我说话!睡觉去 	 嗯'你抱抱我睡觉
死鸡好玩么 	 不好玩还玩
好无趣 	 怎么无趣了
睡不着。。你给我讲个故事 	 从前有个phd，后来他毕业了。这是我知道的最好听的故事了！
你是男生女生 	 当然是男生啦
他喜欢你,他喜欢搞基 	 他喜欢的应该是我！嘿嘿…
有的 	 爱情也会有的
那你跪 	 我给你跪下
是皇帝 	 皇帝，受臣一拜
主人笑你可爱 	 偶也爱主人！
有又能怎样 	 没怎样
我不喜欢你看我傻笑的样子 	 对不起呐，我错了，怎么样你才喜欢我呢
你个笨蛋 	 你个二缺！！
没干嘛 	 没干嘛是干嘛
你承认了 	 承认啦
还是个笨蛋 	 笨蛋小太阳
我说的是你的脑容量 	 那必须的，我的脑子里可以跑火车~
有意思了 	 挺有意思
你老爹 	 老爹是谁
shaji 	 shy?
天津交通广播笑一笑十年少 	 哈哈哈，笑一笑十年少
hehhoho 	 hoho
水至深则无鱼 	 人至贱则无敌
你好恶毒啊,都快赶上雪姨了 	 差点？不过赶上就很好啦~回家吃香香饭！
德玛西亚 	 德玛西亚高帅富
小母鸡 	 小母鸡。。。
还真么有。。她不爱我怎么办 	 怎么会呢，她爱你爱你
你妹妹的 	 我妹的
吃你妹啊,你是公鸡还是母鸡 	 笨蛋，当然是公鸡啦！
爱的 	 亲爱的我在呢
对了,问你哦:你觉得单身好吗 	 世界的绝种人，你说能说不好吗?
还是吃比较有意思 	 挺有意思
可是我特想知道为什么在新鲜事上@你你回不了 	 答案你是知道的，但最终也是让你伤心的
你不是鸡嘛 	 当然不是啦？
我爱张云龙 	 他爱张唯薇
你不是什么都懂么 	 你不说清楚，我怎么可能懂。
不要叫我主淫 	 叫我女王大人！
怎的了 	 你说怎的
哪里坏 	 哪里都坏
陪我说会话吧,傻鸡 	 我说的还不够多么，我那位总是嫌我太啰嗦呢
想吃鸡爪子 	 我爱鸡爪子.！
你本来就很猥琐 	 人不猥琐枉少年
抱一个 	 亲一个，爱一个
你妹,你怎么知道我要补考 	 你天天说我能不知道么！！
那是我小时候 	 大海就是我故乡
人在塔在 	 塔在！
厕所是谁？ 	 你不知道厕所
人不搞基枉骚年 	 早就不是骚年了喽
我是把你炖了好呢?还是炸了好 	 不好！！我要清蒸！卤了也行！炖了最没意思了！！
妞~给大爷笑一个 	 大爷～小女子卖身不卖艺～
你有点蠢 	 最近我有点不舒服
不知道 	 也不想知道
我今年不会挂科 	 肯定挂科啊
可我不是鸡,天理不容 	 恩，尤其是二大队的嫖子！天理不容！！！
我说人人 	 我说哟
他在干嘛 	 他在想你
我穿什么好看 	 什么颜色都好看
她只有四根小刺保护自己，对抗全世界 	 世界那么大,哪里对抗得了
帮您揉揉腿捶捶背给您倒杯茶去小的 	 2了吧,我说眼睛累了,你揉腿干嘛
回家 	 回家没饭吃
小慧最可爱的妹妹 	 小慧是谁
那也是你女朋友 	 我的哪位女朋友
人家本来就嫩！你欺负人家 	 我哪有!是你欺负我
胖子 	 胖子
大骗子 	 我怎么骗子了
隔壁家的小球球 	 小球球是肥
对，我不要随便说脏话了以后〜 	 我不理她,她会不会难过
我是要成为海贼王的男人 	 我说你喜欢海贼王里的谁
大哥...别打我，是...,是熊哥。我是熊哥的人，没听过熊哥么？ 	 没听过没听过
赵越是坨屎！ 	 赵越
最爱 	 最爱什么
难道你不说? 	 我不说
木有，我本来就坏的。 	 就是!是你把我带坏的
靠这么弱智的 	 承认你是弱智了
你的星座是 	 你什么星座的
fuckyousister 	 andyou
切…你不到好i 	 别人说得不到的才是最好的，我说我得到的都是最好的！
还是你死吧,sb 	 simsimi不是你想吃，想吃就能吃~
好看吗 	 可好看了呢！
不会不会，你会保护我的。 	 我手无缚鸡之力,保护不了你
找峰哥请你吧 	 峰哥是谁
你啥时候能不再说。。。。或者 	 嘿嘿，打完这一局我就睡觉。宝贝儿你先睡，一会儿我结束了跟你说。亲亲你。
你是电脑系统,还是真人 	 你是我心中的胶皮糖
你很傻 	 你很笨
要起来了 	 抱你起来
扯……………………………………………2662 	 诶……=°=…………【望天】
你本来就没文化 	 没文化真可怕
你不是鸡么 	 我不是你是啊
我也好无聊 	 陈小贩最寂寞无聊
我切你小通 	 抓你小咪咪
你讨厌小三吗 	 小三都很讨厌
他大爷的 	 他大爷就是他自己
又要去加班了,唉 	 唉,老大,又要虐别人了,手下留情啊。。。
你怎么知道我加班是去虐别人 	 全世界的人都知道！
认识朵奇葩，人送外号大埋汰。。朋友讲的关于他的真事。。。割割割割割。。。去洗澡，搓澡师傅给他搓完后背，让他翻身，大埋汰翻身半天了，回头问师傅怎么不搓了，师傅说，等下，让我歇会儿，老长时间没接这么大活了。。求过吖，我们全寝室都指着这个笑话活着啦。。 	 现在变身笑话大王了,再讲个让爷笑喷的
